YEAR,MONTH,DAY,TIME,DIRECTION,WIND,NEXT_DIRECTION,NEXT_WIND
2011,12,31,13.26,WNW,4.0,NNW,4.0
2011,12,31,13.32,NNW,4.0,WNW,5.0
2011,12,31,13.37,WNW,5.0,WSW,9.0
2011,12,31,13.43,WSW,9.0,WNW,13.0
2011,12,31,13.53,WNW,13.0,West,13.0
2011,12,31,13.58,West,13.0,WNW,10.0
2011,12,31,14.04,WNW,10.0,WNW,10.0
2011,12,31,14.09,WNW,10.0,West,10.0
2011,12,31,14.14,West,10.0,West,10.0
2011,12,31,14.22,West,10.0,West,10.0
2011,12,31,14.27,West,10.0,West,10.0
2011,12,31,14.33,West,10.0,West,9.0
2011,12,31,14.38,West,9.0,West,9.0
2011,12,31,14.43,West,9.0,SW,8.0
2011,12,31,14.48,SW,8.0,WSW,8.0
2011,12,31,14.53,WSW,8.0,SW,8.0
2011,12,31,14.58,SW,8.0,SW,9.0
2011,12,31,15.03,SW,9.0,SSW,9.0
2011,12,31,15.08,SSW,9.0,SSW,7.0
2011,12,31,15.13,SSW,7.0,SW,6.0
2011,12,31,15.18,SW,6.0,NNW,4.0
2011,12,31,15.23,NNW,4.0,WNW,5.0
2011,12,31,15.33,WNW,5.0,WNW,5.0
2011,12,31,15.39,WNW,5.0,West,5.0
2011,12,31,15.44,West,5.0,West,5.0
2011,12,31,15.49,West,5.0,WNW,5.0
2011,12,31,15.54,WNW,5.0,West,6.0
2011,12,31,15.59,West,6.0,West,6.0
2011,12,31,16.04,West,6.0,West,7.0
2011,12,31,16.09,West,7.0,WNW,7.0
2011,12,31,16.14,WNW,7.0,West,6.0
2011,12,31,16.19,West,6.0,West,6.0
2011,12,31,16.24,West,6.0,WNW,7.0
2011,12,31,16.29,WNW,7.0,West,7.0
2011,12,31,16.34,West,7.0,WNW,7.0
2011,12,31,16.40,WNW,7.0,WNW,9.0
2011,12,31,16.45,WNW,9.0,WNW,9.0
2011,12,31,16.50,WNW,9.0,WSW,9.0
2011,12,31,16.55,WSW,9.0,West,8.0
2011,12,31,17.00,West,8.0,WSW,8.0
2011,12,31,17.05,WSW,8.0,West,8.0
2011,12,31,17.10,West,8.0,WNW,6.0
2011,12,31,17.15,WNW,6.0,West,6.0
2011,12,31,17.20,West,6.0,WNW,6.0
2011,12,31,17.25,WNW,6.0,WNW,6.0
2011,12,31,17.30,WNW,6.0,WNW,6.0
2011,12,31,17.35,WNW,6.0,WNW,6.0
2011,12,31,17.40,WNW,6.0,West,6.0
2011,12,31,17.45,West,6.0,WNW,6.0
2011,12,31,17.55,WNW,6.0,WNW,6.0
2011,12,31,18.01,WNW,6.0,West,6.0
2011,12,31,18.06,West,6.0,West,6.0
2011,12,31,18.11,West,6.0,West,6.0
2011,12,31,18.16,West,6.0,WSW,7.0
2011,12,31,18.26,WSW,7.0,West,7.0
2011,12,31,18.31,West,7.0,WSW,7.0
2011,12,31,18.37,WSW,7.0,West,7.0
2011,12,31,18.42,West,7.0,WNW,7.0
2011,12,31,18.47,WNW,7.0,WNW,7.0
2011,12,31,18.52,WNW,7.0,WNW,7.0
2011,12,31,18.57,WNW,7.0,West,7.0
2011,12,31,19.02,West,7.0,WNW,7.0
2011,12,31,19.07,WNW,7.0,West,7.0
2011,12,31,19.12,West,7.0,WSW,7.0
2011,12,31,19.17,WSW,7.0,WNW,7.0
2011,12,31,19.22,WNW,7.0,WNW,7.0
2011,12,31,19.27,WNW,7.0,West,7.0
2011,12,31,19.32,West,7.0,WNW,7.0
2011,12,31,19.42,WNW,7.0,West,7.0
2011,12,31,19.47,West,7.0,ENE,3.0
2011,12,31,20.03,ENE,3.0,NE,3.0
2011,12,31,20.08,NE,3.0,East,6.0
2011,12,31,20.13,East,6.0,East,6.0
2011,12,31,20.18,East,6.0,ENE,7.0
2011,12,31,20.23,ENE,7.0,ENE,8.0
2011,12,31,20.28,ENE,8.0,East,8.0
2011,12,31,20.33,East,8.0,ENE,7.0
2011,12,31,20.38,ENE,7.0,ESE,7.0
2011,12,31,20.43,ESE,7.0,ESE,6.0
2011,12,31,20.48,ESE,6.0,ENE,6.0
2011,12,31,20.54,ENE,6.0,East,5.0
2011,12,31,20.59,East,5.0,ESE,6.0
2011,12,31,21.04,ESE,6.0,East,7.0
2011,12,31,21.09,East,7.0,East,7.0
2011,12,31,21.14,East,7.0,ESE,7.0
2011,12,31,21.19,ESE,7.0,East,7.0
2011,12,31,21.24,East,7.0,East,8.0
2011,12,31,21.29,East,8.0,ESE,8.0
2011,12,31,21.34,ESE,8.0,ESE,8.0
2011,12,31,21.40,ESE,8.0,East,7.0
2011,12,31,21.45,East,7.0,ESE,8.0
2011,12,31,21.55,ESE,8.0,ESE,8.0
2011,12,31,22.00,ESE,8.0,ESE,7.0
