@relation KCASANTA166-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last

@attribute YEAR {'\'(-inf-2011.1]\'','\'(2011.1-2011.2]\'','\'(2011.2-2011.3]\'','\'(2011.3-2011.4]\'','\'(2011.4-2011.5]\'','\'(2011.5-2011.6]\'','\'(2011.6-2011.7]\'','\'(2011.7-2011.8]\'','\'(2011.8-2011.9]\'','\'(2011.9-inf)\''}
@attribute MONTH {'\'(-inf-2.1]\'','\'(2.1-3.2]\'','\'(3.2-4.3]\'','\'(4.3-5.4]\'','\'(5.4-6.5]\'','\'(6.5-7.6]\'','\'(7.6-8.7]\'','\'(8.7-9.8]\'','\'(9.8-10.9]\'','\'(10.9-inf)\''}
@attribute DAY {'\'(-inf-4]\'','\'(4-7]\'','\'(7-10]\'','\'(10-13]\'','\'(13-16]\'','\'(16-19]\'','\'(19-22]\'','\'(22-25]\'','\'(25-28]\'','\'(28-inf)\''}
@attribute TIME {'\'(-inf-2.375]\'','\'(2.375-4.73]\'','\'(4.73-7.085]\'','\'(7.085-9.44]\'','\'(9.44-11.795]\'','\'(11.795-14.15]\'','\'(14.15-16.505]\'','\'(16.505-18.86]\'','\'(18.86-21.215]\'','\'(21.215-inf)\''}
@attribute DIRECTION {WNW,NNW,WSW,West,SW,SSW,ENE,NE,East,ESE,North}
@attribute WIND {'\'(-inf-3.1]\'','\'(3.1-4.2]\'','\'(4.2-5.3]\'','\'(5.3-6.4]\'','\'(6.4-7.5]\'','\'(7.5-8.6]\'','\'(8.6-9.7]\'','\'(9.7-10.8]\'','\'(10.8-11.9]\'','\'(11.9-inf)\''}
@attribute NEXT_DIRECTION {NNW,WNW,WSW,West,SW,SSW,ENE,NE,East,ESE,North}
@attribute NEXT_WIND {'\'(-inf-3.1]\'','\'(3.1-4.2]\'','\'(4.2-5.3]\'','\'(5.3-6.4]\'','\'(6.4-7.5]\'','\'(7.5-8.6]\'','\'(8.6-9.7]\'','\'(9.7-10.8]\'','\'(10.8-11.9]\'','\'(11.9-inf)\''}

@data

'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',WNW,'\'(3.1-4.2]\'',NNW,'\'(3.1-4.2]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',NNW,'\'(3.1-4.2]\'',WNW,'\'(4.2-5.3]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',WNW,'\'(4.2-5.3]\'',WSW,'\'(8.6-9.7]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',WSW,'\'(8.6-9.7]\'',WNW,'\'(11.9-inf)\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',WNW,'\'(11.9-inf)\'',West,'\'(11.9-inf)\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',West,'\'(11.9-inf)\'',WNW,'\'(9.7-10.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',WNW,'\'(9.7-10.8]\'',WNW,'\'(9.7-10.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',WNW,'\'(9.7-10.8]\'',West,'\'(9.7-10.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(11.795-14.15]\'',West,'\'(9.7-10.8]\'',West,'\'(9.7-10.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.15-16.505]\'',West,'\'(9.7-10.8]\'',West,'\'(9.7-10.8]\''
'\'(-inf-2011.1]\'','\'(10.9-inf)\'','\'(28-inf)\'','\'(14.15-16.505]\'',West,'\'(9.7-10.8]\'',West,'\'(9.7-10.8]\''
